"Record ID","Deal Name","Project ID","Tier 1 (Reseller)","Tier 2 (Reseller Sales Org)","AADT (site)","Deal Stage","State (install site)","Country (install site)","Latitude/Longitude (install site)","Postal Code (install site)"
"16908441781","TDD - 1553 Bayville St, Norfolk, VA 23503","","TD Synnex","TDD","91500","3. Contracts & Committments","VA","USA","36.9664723045289, -76.29602944894297","23503"
"16908186202","TDD - 121 National Ave, Hampton, VA 23663","","TD Synnex","TDD","92500","3. Contracts & Committments","VA","USA","37.014261247002665, -76.32462393714053","23663"
"16908185910","TDD - 615 N 20th St, Phoenix, AZ 85006","","TD Synnex","TDD","229777","1. Qualifications","AZ","USA","33.45593716445978, -112.03856032251873","85006"
"16908159158","TDD - 919 N 20th St, Phoenix, AZ 85006","","TD Synnex","TDD","229777","1. Qualifications","AZ","USA","33.457877109997604, -112.03887515453083","85006"
"16908158779","TDD - 1972 Power Plant Pkwy, Hampton, VA 23666","","TD Synnex","TDD","178159","3. Contracts & Committments","VA","USA","37.03581911039278, -76.39067749581375","23666"
"16908158500","TDD - 1 YMCA Way, Hampton, VA 23669","","TD Synnex","TDD","134719","3. Contracts & Committments","VA","USA","37.03231502277075, -76.3614867122696","23669"
"16908158220","TDD - 509 Bassette St, Hampton, VA 23669","","TD Synnex","TDD","121417","3. Contracts & Committments","VA","USA","37.03419940674018, -76.35856786604236","23669"
"16908157805","TDD - 2117 London Blvd, Portsmouth, VA 23704","","TD Synnex","TDD","24782","3. Contracts & Committments","VA","USA","36.8371941803796, -76.32622308109364","23704"
"16908183636","TDD - 1013 Effingham St, Portsmouth, VA 23704","","TD Synnex","TDD","93210","3. Contracts & Committments","VA","USA","36.831040492829224, -76.30630400766347","23704"
"16908157041","TDD - 234 W Berkley Ave, Norfolk, VA 23523","","TD Synnex","TDD","92875","3. Contracts & Committments","VA","USA","36.83402108360921, -76.28552523421826","23523"
"16907841324","Thunder Road Partners, Inc. - 7530 Winchester Rd","","Apex Omnisource","SVR-Surge Venture Resellers","120000","3. Contracts & Committments","TN","USA","35.05080093119307, -89.81182144775222","38125"
"16907853613","TDD -  1335 S Clarkson St, Charlotte, NC 28208","","TD Synnex","TDD","103490","1. Qualifications","NC","USA","35.22391506794486, -80.86068743475059","28208"
